sending_region,receiving_region,milliseconds
europe-west1,asia-south2,153.541
asia-south2,europe-west1,153.527
europe-central2,asia-east2,245.362
asia-east2,europe-central2,245.342
europe-southwest1,asia-east2,222.467
asia-east2,europe-southwest1,222.5
europe-west4,asia-south2,150.374
asia-south2,europe-west4,150.371
europe-west8,asia-east1,220.713
asia-east1,europe-west8,218.475
europe-west6,asia-northeast3,249.145
asia-northeast3,europe-west6,249.159
europe-west12,asia-northeast3,244.209
asia-northeast3,europe-west12,244.573
europe-west2,asia-northeast2,226.66
asia-northeast2,europe-west2,226.652
asia-northeast1,europe-north1,243.077
europe-north1,asia-northeast1,243.066
asia-northeast2,europe-southwest1,230.634
europe-southwest1,asia-northeast2,230.625
europe-west1,asia-east1,224.445
asia-east1,europe-west1,224.431
europe-central2,asia-east1,246.866
asia-east1,europe-central2,246.872
asia-east2,europe-west6,222.476
europe-west6,asia-east2,222.476
us-central1,asia-east1,149.813
asia-east1,us-central1,149.806
europe-west3,australia-southeast2,267.926
australia-southeast2,europe-west3,267.925
us-east4,europe-west8,94.575
europe-west8,us-east4,94.58
us-east5,asia-south2,225.839
asia-south2,us-east5,225.913
us-central1,asia-northeast3,172.516
asia-northeast3,us-central1,172.466
asia-northeast1,us-west2,99.389
us-west2,asia-northeast1,99.344
europe-west1,us-west4,138.748
us-west4,europe-west1,138.743
us-west4,europe-west10,146.732
europe-west10,us-west4,146.746
us-east4,asia-south2,217.469
asia-south2,us-east4,220.369
europe-west12,us-west4,153.595
us-west4,europe-west12,153.615
europe-west1,us-east1,90.779
us-east1,europe-west1,90.792
asia-east2,us-west2,138.939
us-west2,asia-east2,138.888
europe-west1,australia-southeast2,268.102
australia-southeast2,europe-west1,268.107
asia-east2,europe-west12,219.247
europe-west12,asia-east2,219.234
australia-southeast2,europe-west6,269.683
europe-west6,australia-southeast2,269.688
us-east5,europe-southwest1,92.313
europe-southwest1,us-east5,89.159
asia-east1,europe-north1,257.532
europe-north1,asia-east1,257.533
us-east5,asia-east2,181.492
asia-east2,us-east5,181.497
asia-east1,australia-southeast1,130.586
us-west4,asia-south2,229.1
asia-south2,us-west4,229.109
europe-north1,us-west3,142.833
us-west3,europe-north1,142.829
europe-west2,australia-southeast2,283.209
australia-southeast2,europe-west2,283.222
australia-southeast2,us-central1,180.178
us-central1,australia-southeast2,180.14
asia-east1,us-west2,126.882
us-west2,asia-east1,126.9
asia-south2,australia-southeast2,147.864
australia-southeast2,asia-south2,147.86
northamerica-northeast2,asia-south1,209.854
asia-south1,northamerica-northeast2,209.849
us-east5,asia-northeast2,150.256
asia-northeast2,us-east5,150.254
us-west1,europe-west3,141.552
europe-west3,us-west1,141.525
asia-southeast2,europe-central2,234.594
europe-central2,asia-southeast2,234.605
australia-southeast2,europe-central2,284.833
europe-central2,australia-southeast2,284.79
europe-west6,us-west3,136.176
us-west3,europe-west6,136.174
australia-southeast1,europe-west12,266.353
europe-west12,australia-southeast1,266.279
us-east4,europe-central2,96.582
europe-central2,us-east4,96.591
asia-southeast2,australia-southeast1,106.61
australia-southeast1,asia-southeast2,106.156
northamerica-northeast2,europe-west12,106.24
europe-west12,northamerica-northeast2,106.25
australia-southeast1,us-west4,142.755
us-west4,australia-southeast1,142.729
europe-west3,us-west4,145.574
us-west4,europe-west3,145.575
us-west4,australia-southeast2,154.499
australia-southeast2,us-west4,154.491
asia-east2,australia-southeast2,117.381
northamerica-northeast1,us-east1,24.671
us-east1,northamerica-northeast1,24.671
asia-northeast2,us-west4,112.94
